timestamp,ticker,side,expiry,strike,entry_mid,delta,iv,open_interest,volume,spread_pct,dte,status,best_seen,touched_at
2025-10-01 16:42:34,AAPL,CALL,2025-10-10,257.5,3.475,0.6457686117468898,0.2365798999023437,4477,9410,0.014388489208633,9,OPEN,3.475,
2025-10-01 16:42:34,AAPL,CALL,2025-10-10,255.0,4.824999999999999,0.6555184310503182,0.2426833544921874,8612,5959,0.010362694300518,9,OPEN,4.824999999999999,
2025-10-01 16:42:34,MSFT,CALL,2025-10-10,515.0,7.35,0.6518992606415849,0.2026446923828124,3578,1210,0.0136054421768708,9,OPEN,7.35,
2025-10-01 16:42:34,MSFT,CALL,2025-10-10,517.5,6.025,0.6470541114213983,0.2002643450927734,923,627,0.0248962655601658,9,OPEN,6.025,
2025-10-01 16:42:34,TSLA,CALL,2025-10-10,455.0,16.85,0.6553179129358294,0.5190477783203125,1867,4183,0.00593471810089,9,OPEN,16.85,
2025-10-01 16:42:34,TSLA,CALL,2025-10-10,460.0,14.65,0.6443873405505088,0.5259446820068359,3246,11863,0.0068259385665528,9,OPEN,14.65,
2025-10-01 16:42:34,NVDA,CALL,2025-10-10,187.5,4.074999999999999,0.6459511205996055,0.3615786499023437,8614,18365,0.0122699386503067,9,OPEN,4.074999999999999,
2025-10-01 16:42:34,NVDA,CALL,2025-10-10,185.0,5.475,0.6593384389916107,0.3728090063476562,18409,19007,0.0091324200913241,9,OPEN,5.475,
2025-10-01 16:42:34,META,CALL,2025-10-10,720.0,14.05,0.6482608695652174,0.3126289440917968,238,2470,0.0142348754448399,9,OPEN,14.05,
2025-10-01 16:42:34,META,CALL,2025-10-10,722.5,13.025,0.6447826086956522,0.315863775024414,213,417,0.019193857965451,9,OPEN,13.025,
2025-10-01 16:42:34,AMD,CALL,2025-10-10,162.5,4.8,0.6457437739669093,0.485356708984375,3076,2943,0.0208333333333332,9,OPEN,4.8,
2025-10-01 16:42:34,AMD,CALL,2025-10-10,160.0,6.074999999999999,0.6611938697520338,0.4851125708007812,4788,1964,0.008230452674897,9,OPEN,6.074999999999999,
2025-10-01 16:42:34,AMZN,CALL,2025-10-10,220.0,4.975,0.6546149862127572,0.307502042236328,6999,7163,0.0100502512562813,9,OPEN,4.975,
2025-10-01 16:42:34,AMZN,CALL,2025-10-10,222.5,3.725,0.6433037928742658,0.3043282458496094,3580,2882,0.0134228187919462,9,OPEN,3.725,
2025-10-01 16:42:34,GOOGL,CALL,2025-10-10,242.5,5.35,0.6537385631174494,0.3073799731445312,517,1199,0.0186915887850468,9,OPEN,5.35,
2025-10-01 16:42:34,GOOGL,CALL,2025-10-10,245.0,4.125,0.6434678266547427,0.3040841076660155,2142,1767,0.0121212121212122,9,OPEN,4.125,
2025-10-01 16:42:34,NFLX,CALL,2025-10-10,1180.0,19.225,0.6426583785157088,0.3033516931152343,204,358,0.0286085825747724,9,OPEN,19.225,
2025-10-01 16:42:34,NFLX,CALL,2025-10-10,1195.0,13.65,0.6298531884120949,0.3075630767822265,223,645,0.0586080586080586,9,OPEN,13.65,
